SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
10	2260	0	0
0	2261	9951792	3336306
9	2261	0	0
10	2261	0	0
0	2262	9951792	3337733
9	2262	0	0
10	2262	0	0
0	2263	9951792	3367749
9	2263	0	0
10	2263	0	0
0	2264	9951792	3296920
9	2264	0	0
10	2264	0	0
0	2265	9951792	3390560
9	2265	0	0
10	2265	0	0
0	2266	9951792	3438529
9	2266	0	0
10	2266	0	0
0	2267	9951792	3480592
9	2267	0	0
10	2267	0	0
0	2268	9951792	3497533
9	2268	0	0
10	2268	0	0
0	2269	9951792	3486375
9	2269	0	0
10	2269	0	0
0	2270	9951792	3476929
9	2270	0	0
10	2270	0	0
0	2271	9951792	3522221
9	2271	0	0
10	2271	0	0
0	2272	9951792	3529947
9	2272	0	0
10	2272	0	0
0	2273	9951792	3519771
9	2273	0	0
10	2273	0	0
0	2274	9951792	3546300
9	2274	0	0
10	2274	0	0
0	2275	9951792	3549468
9	2275	0	0
10	2275	0	0
0	2276	9951792	3537639
9	2276	0	0
10	2276	0	0
0	2277	9951792	3522632
9	2277	0	0
10	2277	0	0
0	2278	9951792	3522534
9	2278	0	0
10	2278	0	0
0	2279	9951792	3525046
9	2279	0	0
10	2279	0	0
0	2280	9951792	3534676
9	2280	0	0
10	2280	0	0
0	2281	9951792	3559641
9	2281	0	0
10	2281	0	0
0	2282	9951792	3568963
9	2282	0	0
10	2282	0	0
0	2283	9951792	3587163
9	2283	0	0
10	2283	0	0
0	2284	9951792	3561005
9	2284	0	0
10	2284	0	0
0	2285	9951792	3537285
9	2285	0	0
10	2285	0	0
0	2286	9951792	3477931
9	2286	0	0
10	2286	0	0
0	2287	9951792	3432199
9	2287	0	0
10	2287	0	0
0	2288	9951792	3413739
9	2288	0	0
10	2288	0	0
0	2289	9951792	3392884
9	2289	0	0
10	2289	0	0
0	2290	9951792	3403661
9	2290	0	0
10	2290	0	0
0	2291	9951792	3421048
9	2291	0	0
10	2291	0	0
0	2292	9951792	3425724
9	2292	0	0
10	2292	0	0
0	2293	9951792	3410284
9	2293	0	0
10	2293	0	0
0	2294	9951792	3476532
9	2294	0	0
10	2294	0	0
0	2295	9951792	3499573
9	2295	0	0
10	2295	0	0
0	2296	9951792	3502384
9	2296	0	0
10	2296	0	0
0	2297	9951792	3508889
9	2297	0	0
10	2297	0	0
0	2298	6105966	1583261
9	2298	1840718	920359
10	2298	2005108	1002554
